Event Type,Event Name,Request ID,User ID,Request Parameters,Alert,Event ID,Event DateTime,Alarm DateTime,Source IP,Request User Agent,Repeated Attempts
AwsApiCall,HeadBucket,2201FKAJ5CMK5FVB,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 106-2021-06-16T08:11:20Z,b403f2c5-9c01-4116-b0e4-c785529093d7,2021-06-16T08:11:20Z,2021-06-16T08:13:07.332208+00:00,178.171.117.167,Go-http-client/1.1,1
AwsApiCall,HeadBucket,4T9VF12DW6SA1WD2,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 105-2021-06-13T08:19:35Z,bb2a49bd-b423-4943-ad9b-5d8e865aaa29,2021-06-13T08:19:35Z,2021-06-13T08:20:53.324427+00:00,103.119.108.71,Go-http-client/1.1,1
AwsApiCall,HeadBucket,WF2NKATGQQBCNRG5,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 104-2021-06-10T08:01:55Z,21bbf65f-b38f-4435-b80c-88ae51d6febb,2021-06-10T08:01:55Z,2021-06-10T08:04:38.920400+00:00,167.100.107.28,Go-http-client/1.1,1
AwsApiCall,HeadBucket,G1GF5GXWQV46ZNDM,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 103-2021-06-08T12:01:07Z,61c94560-5c7c-4d88-9fe2-7c576880696c,2021-06-08T12:01:07Z,2021-06-08T12:05:37.440784+00:00,35.195.57.216,Boto3/1.17.68 Python/3.9.4 Linux/5.4.0-1033-gke Botocore/1.20.68 Resource,1
AwsApiCall,ListObjects,K9W25ZMR33V897P3,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 102-2021-06-07T07:59:58Z,efc2aea7-ace6-4fae-8989-2cf39ca80364,2021-06-07T07:59:58Z,2021-06-07T08:04:30.770416+00:00,92.240.200.69,Go-http-client/1.1,1
AwsApiCall,HeadBucket,MPY9TKW1V9HWBXSR,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 101-2021-06-05T17:17:05Z,3cbf3f4c-f1a7-4ee8-b74f-17e648aae007,2021-06-05T17:17:05Z,2021-06-05T17:19:28.468603+00:00,35.195.57.216,Boto3/1.17.68 Python/3.9.4 Linux/5.4.0-1033-gke Botocore/1.20.68 Resource,1
AwsApiCall,ListObjects,DEBRB0DV2T3CSPKP,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 100-2021-06-04T13:06:09Z,75a38179-9104-4251-b8fc-624cb46c4fc9,2021-06-04T13:06:09Z,2021-06-04T13:07:45.535901+00:00,178.171.65.44,Go-http-client/1.1,1
AwsApiCall,HeadBucket,HQGEZTZD7RAVTX9C,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 99-2021-06-04T03:03:18Z,4a05ea31-67c2-4f92-b448-37caef16ab1a,2021-06-04T03:03:18Z,2021-06-04T03:07:36.467035+00:00,34.78.249.119,Boto3/1.17.68 Python/3.9.4 Linux/5.4.0-1033-gke Botocore/1.20.68 Resource,1
AwsApiCall,ListObjects,0BGRYCRGR9ZP9K5W,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 98-2021-06-02T01:56:28Z,698f4cc0-e50f-4c2a-99b6-42d346aa285b,2021-06-02T01:56:28Z,2021-06-02T01:58:56.529802+00:00,178.171.66.118,Go-http-client/1.1,1
AwsApiCall,HeadBucket,RYQFBJY97NJHXVR1,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 97-2021-05-27T07:03:37Z,54929397-7c5f-4acc-8675-ddacbafefe34,2021-05-27T07:03:37Z,2021-05-27T07:07:52.259238+00:00,34.77.163.42,Boto3/1.17.68 Python/3.9.4 Linux/5.4.0-1033-gke Botocore/1.20.68 Resource,1
